experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,k_flips
seqpert_depth,depth,,3,0.0625,1,bd87,bd07,True,9,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,9d07,bd07,True,4,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,ad07,bd07,True,7,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,fd07,bd07,True,11,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,fd07,bd07,True,11,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd06,bd07,True,4,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd0f,bd07,True,6,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd05,bd07,True,4,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,fd07,bd07,True,11,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd05,bd07,True,4,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd27,bd07,True,4,correct,3,True,1
seqpert_depth,depth,,3,0.0625,1,bd17,bd17,False,740,oscillated,-1,False,1
seqpert_depth,depth,,3,0.0625,1,b907,bd07,True,4,correct,3,True,1
