experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,testset,n_classes,conflicts_G
r6_hd3,even_odd,_parity,0,0.1875,3,f8a5,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f4a5,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,eca5,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dca5,58a4,True,45,spurious,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bca5,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7ca5,58a4,True,45,spurious,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcab,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcb3,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc83,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fce3,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc23,fd66,False,1636,oscillated,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fda3,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fea3,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f8a3,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f4a3,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,eca3,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dca3,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bca3,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7ca3,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcbf,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc8f,fca6,True,83,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcef,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc2f,fd4b,True,45,spurious,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fdaf,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,feaf,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f8af,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f4af,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,ecaf,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dcaf,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bcaf,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7caf,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc97,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcf7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc37,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fdb7,fca6,True,21,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,feb7,fca6,True,31,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f8b7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f4b7,fca6,True,49,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,ecb7,fca6,True,21,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dcb7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bcb7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7cb7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fcc7,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc07,bd07,True,11,wrong_pattern,3,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fd87,bd07,True,25,wrong_pattern,3,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fe87,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f887,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f487,fca6,True,59,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,ec87,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,dc87,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,bc87,fca6,True,45,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,7c87,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fc67,fd22,False,1636,oscillated,-1,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fde7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,fee7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f8e7,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,f4e7,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.1875,3,ece7,fca6,True,11,correct,0,True,parity,hd3,2,19
