experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,src_pat,tgt_pat,step
cascade_step1,even_odd,_s1,1,0.2,3,1e15,1b95,True,25,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,7a9f,fca6,True,45,wrong_pattern,0,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,b997,bd07,True,45,wrong_pattern,3,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1bd5,1b95,True,21,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,a85,58a4,True,89,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,f95,1b95,True,11,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,f55,359,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,179d,395,True,49,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,1bc7,1b95,True,45,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,9395,395,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
cascade_step1,even_odd,_s1,1,0.0,0,1b95,1b95,True,0,correct,1,True,1.0,3.0,1
