experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,category,testset,delays,conflicts_G
r7_hd3,coloring,_all_equal,2,0.1875,3,ae94,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b694,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8694,86b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e694,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2694,26b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a674,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a7f4,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a4f4,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a2f4,a2b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,aef4,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b6f4,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,86f4,86b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e6f4,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,26f4,26b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a734,a6b6,True,61,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a434,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a234,a2b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,ae34,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b634,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8634,86b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e634,e6fa,True,41,spurious,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,2634,26b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a5b4,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a3b4,a2b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,afb4,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b7b4,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,87b4,86b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e7b4,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,27b4,26b4,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
